,attention,meditation,raw_value,timestamp
clip1,0,0,38,1.627000093460083
clip1,0,0,25,1.628000020980835
clip1,0,0,42,1.628999948501587
clip1,0,0,73,1.628999948501587
clip1,0,0,99,1.628999948501587
clip1,0,0,116,1.6299998760223389
clip1,0,0,93,1.6299998760223389
clip1,0,0,93,1.63100004196167
clip1,0,0,59,1.63100004196167
clip1,0,0,48,1.63100004196167
clip1,0,0,65,1.631999969482422
clip1,0,0,71,1.6529998779296875
clip1,0,0,58,1.6540000438690186
clip1,0,0,49,1.6549999713897705
clip1,0,0,45,1.6549999713897705
clip1,0,0,44,1.6559998989105225
clip1,0,0,53,1.6559998989105225
clip1,0,0,57,1.6570000648498535
clip1,0,0,53,1.6570000648498535
clip1,0,0,48,1.6570000648498535
clip1,0,0,50,1.6679999828338623
clip1,0,0,50,1.6689999103546145
clip1,0,0,51,1.6689999103546145
clip1,0,0,49,1.670000076293945
clip1,0,0,53,1.670000076293945
clip1,0,0,73,1.6710000038146973
clip1,0,0,92,1.6710000038146973
clip1,0,0,60,1.6719999313354492
clip1,0,0,66,1.6719999313354492
clip1,0,0,66,1.6730000972747805
clip1,0,0,71,1.6730000972747805
clip1,0,0,81,1.6730000972747805
clip1,0,0,86,1.6740000247955322
clip1,0,0,61,1.6740000247955322
clip1,0,0,33,1.6740000247955322
clip1,0,0,24,1.6749999523162842
clip1,0,0,40,1.6749999523162842
clip1,0,0,58,1.675999879837036
clip1,0,0,38,1.675999879837036
clip1,0,0,7,1.6770000457763672
clip1,0,0,5,1.6770000457763672
clip1,0,0,23,1.687999963760376
clip1,0,0,39,1.687999963760376
clip1,0,0,48,1.687999963760376
clip1,0,0,45,1.688999891281128
clip1,0,0,34,1.688999891281128
clip1,0,0,28,1.688999891281128
clip1,0,0,41,1.690000057220459
clip1,0,0,49,1.690000057220459
clip1,0,0,49,1.690999984741211
clip1,0,0,48,1.690999984741211
clip1,0,0,35,1.690999984741211
clip1,0,0,45,1.7019999027252195
clip1,0,0,53,1.7030000686645508
clip1,0,0,41,1.7030000686645508
clip1,0,0,29,1.7039999961853027
clip1,0,0,18,1.7039999961853027
clip1,0,0,10,1.704999923706055
clip1,0,0,19,1.704999923706055
clip1,0,0,24,1.7060000896453855
clip1,0,0,19,1.7060000896453855
clip1,0,0,17,1.7060000896453855
clip1,0,0,22,1.7409999370574951
clip1,0,0,24,1.741999864578247
clip1,0,0,26,1.741999864578247
clip1,0,0,36,1.743000030517578
clip1,0,0,33,1.743000030517578
clip1,0,0,8,1.74399995803833
clip1,0,0,-5,1.74399995803833
clip1,0,0,11,1.74399995803833
clip1,0,0,45,1.744999885559082
clip1,0,0,53,1.744999885559082
clip1,0,0,48,1.746000051498413
clip1,0,0,51,1.746000051498413
clip1,0,0,34,1.746999979019165
clip1,0,0,16,1.746999979019165
clip1,0,0,13,1.746999979019165
clip1,0,0,28,1.747999906539917
clip1,0,0,36,1.747999906539917
clip1,0,0,36,1.749000072479248
clip1,0,0,18,1.749000072479248
clip1,0,0,1,1.749000072479248
clip1,0,0,9,1.749000072479248
clip1,0,0,28,1.772000074386597
clip1,0,0,36,1.772000074386597
clip1,0,0,35,1.7730000019073486
clip1,0,0,40,1.7730000019073486
clip1,0,0,64,1.7739999294281006
clip1,0,0,77,1.7739999294281006
clip1,0,0,58,1.7750000953674316
clip1,0,0,41,1.7750000953674316
clip1,0,0,48,1.7750000953674316
clip1,0,0,69,1.7760000228881836
clip1,0,0,74,1.7820000648498535
clip1,0,0,66,1.7820000648498535
clip1,0,0,51,1.7829999923706057
clip1,0,0,36,1.7839999198913574
clip1,0,0,49,1.7839999198913574
clip1,0,0,49,1.7850000858306885
clip1,0,0,59,1.7850000858306885
clip1,0,0,60,1.7850000858306885
clip1,0,0,58,1.7860000133514404
clip1,0,0,56,1.7860000133514404
clip1,0,0,51,1.7860000133514404
clip1,0,0,37,1.806999921798706
clip1,0,0,25,1.806999921798706
clip1,0,0,32,1.808000087738037
clip1,0,0,37,1.809000015258789
clip1,0,0,36,1.809000015258789
clip1,0,0,32,1.809000015258789
clip1,0,0,32,1.809999942779541
clip1,0,0,39,1.809999942779541
clip1,0,0,41,1.810999870300293
clip1,0,0,42,1.810999870300293
clip1,0,0,38,1.8229999542236328
clip1,0,0,32,1.8229999542236328
clip1,0,0,27,1.8239998817443848
clip1,0,0,36,1.825000047683716
clip1,0,0,37,1.825000047683716
clip1,0,0,23,1.825999975204468
clip1,0,0,18,1.825999975204468
clip1,0,0,22,1.82699990272522
clip1,0,0,26,1.82699990272522
clip1,0,0,10,1.838000059127808
clip1,0,0,-5,1.83899998664856
clip1,0,0,9,1.8399999141693115
clip1,0,0,13,1.8399999141693115
clip1,0,0,6,1.8410000801086424
clip1,0,0,3,1.8410000801086424
clip1,0,0,20,1.8420000076293943
clip1,0,0,25,1.8420000076293943
clip1,0,0,9,1.8420000076293943
clip1,0,0,12,1.86299991607666
clip1,0,0,40,1.8640000820159912
clip1,0,0,37,1.8640000820159912
clip1,0,0,8,1.8650000095367432
clip1,0,0,-1,1.8650000095367432
clip1,0,0,10,1.8659999370574951
clip1,0,0,24,1.8659999370574951
clip1,0,0,32,1.866999864578247
clip1,0,0,43,1.866999864578247
clip1,0,0,48,1.866999864578247
clip1,0,0,49,1.8799998760223389
clip1,0,0,45,1.88100004196167
clip1,0,0,28,1.8819999694824217
clip1,0,0,18,1.8819999694824217
clip1,0,0,35,1.8829998970031736
clip1,0,0,41,1.8829998970031736
clip1,0,0,18,1.8840000629425049
clip1,0,0,-1,1.8840000629425049
clip1,0,0,-2,1.8849999904632568
clip1,0,0,17,1.8849999904632568
clip1,0,0,32,1.9070000648498533
clip1,0,0,22,1.9070000648498533
clip1,0,0,8,1.9079999923706052
clip1,0,0,-5,1.9089999198913572
clip1,0,0,-9,1.9089999198913572
clip1,0,0,2,1.9100000858306885
clip1,0,0,8,1.9100000858306885
clip1,0,0,3,1.9110000133514404
clip1,0,0,-4,1.9110000133514404
clip1,0,0,-2,1.9110000133514404
clip1,0,0,10,1.9170000553131104
clip1,0,0,16,1.9170000553131104
clip1,0,0,20,1.9179999828338623
clip1,0,0,24,1.9189999103546145
clip1,0,0,19,1.9189999103546145
clip1,0,0,21,1.920000076293945
clip1,0,0,29,1.920000076293945
clip1,0,0,38,1.920000076293945
clip1,0,0,51,1.9210000038146973
clip1,0,0,50,1.9210000038146973
clip1,0,0,42,1.941999912261963
clip1,0,0,54,1.943000078201294
clip1,0,0,60,1.943000078201294
clip1,0,0,48,1.944000005722046
clip1,0,0,32,1.944000005722046
clip1,0,0,24,1.9449999332427976
clip1,0,0,33,1.9449999332427976
clip1,0,0,40,1.9449999332427976
clip1,0,0,48,1.9459998607635496
clip1,0,0,45,1.9459998607635496
clip1,0,0,59,1.9570000171661377
clip1,0,0,76,1.9579999446868896
clip1,0,0,73,1.9579999446868896
clip1,0,0,64,1.9589998722076416
clip1,0,0,52,1.9600000381469729
clip1,0,0,43,1.9600000381469729
clip1,0,0,52,1.9609999656677248
clip1,0,0,58,1.9609999656677248
clip1,0,0,50,1.9609999656677248
clip1,0,0,38,1.9619998931884768
clip1,0,0,29,1.9909999370574951
clip1,0,0,52,1.991999864578247
clip1,0,0,86,1.991999864578247
clip1,0,0,88,1.993000030517578
clip1,0,0,75,1.993000030517578
clip1,0,0,42,1.99399995803833
clip1,0,0,22,1.99399995803833
clip1,0,0,23,1.99399995803833
clip1,0,0,35,1.994999885559082
clip1,0,0,40,1.994999885559082
clip1,0,0,41,2.0169999599456787
clip1,0,0,40,2.0179998874664307
clip1,0,0,38,2.0179998874664307
clip1,0,0,39,2.0190000534057617
clip1,0,0,43,2.0190000534057617
clip1,0,0,39,2.0199999809265137
clip1,0,0,42,2.0199999809265137
clip1,0,0,53,2.0209999084472656
clip1,0,0,50,2.0209999084472656
clip1,0,0,39,2.0209999084472656
clip1,0,0,40,2.0220000743865967
clip1,0,0,69,2.0220000743865967
clip1,0,0,113,2.0230000019073486
clip1,0,0,133,2.0230000019073486
clip1,0,0,122,2.0230000019073486
clip1,0,0,91,2.0239999294281006
clip1,0,0,87,2.0239999294281006
clip1,0,0,102,2.025000095367432
clip1,0,0,75,2.025000095367432
clip1,0,0,39,2.025000095367432
clip1,0,0,43,2.0360000133514404
clip1,0,0,71,2.0369999408721924
clip1,0,0,66,2.0379998683929443
clip1,0,0,51,2.0379998683929443
clip1,0,0,64,2.0390000343322754
clip1,0,0,80,2.0390000343322754
clip1,0,0,74,2.039999961853028
clip1,0,0,55,2.039999961853028
clip1,0,0,44,2.0409998893737797
clip1,0,0,57,2.0409998893737797
clip1,0,0,75,2.062000036239624
clip1,0,0,85,2.062999963760376
clip1,0,0,86,2.063999891281128
clip1,0,0,76,2.063999891281128
clip1,0,0,64,2.063999891281128
clip1,0,0,55,2.065000057220459
clip1,0,0,60,2.065000057220459
clip1,0,0,67,2.065999984741211
clip1,0,0,59,2.065999984741211
clip1,0,0,48,2.066999912261963
clip1,0,0,44,2.078000068664551
clip1,0,0,50,2.0789999961853027
clip1,0,0,43,2.0799999237060547
clip1,0,0,32,2.0799999237060547
clip1,0,0,25,2.0810000896453857
clip1,0,0,23,2.0810000896453857
clip1,0,0,18,2.0820000171661377
clip1,0,0,12,2.0820000171661377
clip1,0,0,9,2.0820000171661377
clip1,0,0,4,2.0829999446868896
clip1,0,0,16,2.0929999351501465
clip1,0,0,35,2.0939998626708984
clip1,0,0,25,2.095000028610229
clip1,0,0,2,2.095999956130981
clip1,0,0,-2,2.0969998836517334
clip1,0,0,16,2.0969998836517334
clip1,0,0,23,2.0969998836517334
clip1,0,0,19,2.0980000495910645
clip1,0,0,21,2.0980000495910645
clip1,0,0,21,2.0989999771118164
clip1,0,0,34,2.0989999771118164
clip1,0,0,26,2.11899995803833
clip1,0,0,17,2.11899995803833
clip1,0,0,23,2.119999885559082
clip1,0,0,42,2.121000051498413
clip1,0,0,52,2.121000051498413
clip1,0,0,40,2.121999979019165
clip1,0,0,25,2.121999979019165
clip1,0,0,55,2.122999906539917
clip1,0,0,83,2.122999906539917
clip1,0,0,64,2.124000072479248
clip1,0,0,42,2.1449999809265137
clip1,0,0,41,2.1449999809265137
clip1,0,0,27,2.1459999084472656
clip1,0,0,23,2.1459999084472656
clip1,0,0,24,2.1470000743865967
clip1,0,0,21,2.1480000019073486
clip1,0,0,7,2.1480000019073486
clip1,0,0,-8,2.1480000019073486
clip1,0,0,-3,2.1489999294281006
clip1,0,0,9,2.1489999294281006
clip1,0,0,27,2.150000095367432
clip1,0,0,57,2.150000095367432
clip1,0,0,70,2.151000022888184
clip1,0,0,53,2.151000022888184
clip1,0,0,49,2.151000022888184
clip1,0,0,41,2.1519999504089355
clip1,0,0,-4,2.1519999504089355
clip1,0,0,-50,2.1529998779296875
clip1,0,0,-66,2.1529998779296875
clip1,0,0,-60,2.1529998779296875
clip1,0,0,-33,2.1730000972747803
clip1,0,0,2,2.174000024795532
clip1,0,0,29,2.174999952316284
clip1,0,0,56,2.174999952316284
clip1,0,0,87,2.175999879837036
clip1,0,0,130,2.175999879837036
clip1,0,0,172,2.177000045776367
clip1,0,0,209,2.177000045776367
clip1,0,0,184,2.177999973297119
clip1,0,0,183,2.190000057220459
clip1,0,0,216,2.190000057220459
clip1,0,0,245,2.190999984741211
clip1,0,0,262,2.191999912261963
clip1,0,0,277,2.191999912261963
clip1,0,0,321,2.193000078201294
clip1,0,0,372,2.193000078201294
clip1,0,0,371,2.193000078201294
clip1,0,0,324,2.194000005722046
clip1,0,0,291,2.194000005722046
clip1,0,0,296,2.2160000801086426
clip1,0,0,317,2.2170000076293945
clip1,0,0,325,2.2170000076293945
clip1,0,0,308,2.2179999351501465
clip1,0,0,289,2.2179999351501465
clip1,0,0,285,2.2189998626708984
clip1,0,0,274,2.2189998626708984
clip1,0,0,249,2.220000028610229
clip1,0,0,214,2.220000028610229
clip1,0,0,214,2.2309999465942383
clip1,0,0,176,2.2309999465942383
clip1,0,0,151,2.2319998741149902
clip1,0,0,154,2.2319998741149902
clip1,0,0,152,2.2330000400543213
clip1,0,0,119,2.2330000400543213
clip1,0,0,97,2.233999967575073
clip1,0,0,89,2.233999967575073
clip1,0,0,83,2.233999967575073
clip1,0,0,73,2.234999895095825
clip1,0,0,69,2.234999895095825
clip1,0,0,76,2.25600004196167
