,attention,meditation,raw_value,timestamp
clip1,0,0,-157,3.6480000019073486
clip1,0,0,-122,3.651000022888184
clip1,0,0,-86,3.6549999713897705
clip1,0,0,-59,3.658999919891357
clip1,0,0,-38,3.658999919891357
clip1,0,0,-17,3.660000085830689
clip1,0,0,-10,3.660000085830689
clip1,0,0,-17,3.66100001335144
clip1,0,0,-18,3.66100001335144
clip1,0,0,-22,3.661999940872192
clip1,0,0,-21,3.674000024795532
clip1,0,0,-20,3.675999879837036
clip1,0,0,-33,3.675999879837036
clip1,0,0,-56,3.675999879837036
clip1,0,0,-92,3.677000045776367
clip1,0,0,-130,3.677000045776367
clip1,0,0,-170,3.677999973297119
clip1,0,0,-203,3.678999900817871
clip1,0,0,-214,3.678999900817871
clip1,0,0,-217,3.680000066757202
clip1,0,0,-245,3.687999963760376
clip1,0,0,-282,3.688999891281128
clip1,0,0,-326,3.690000057220459
clip1,0,0,-357,3.690000057220459
clip1,0,0,-364,3.690999984741211
clip1,0,0,-366,3.690999984741211
clip1,0,0,-372,3.691999912261963
clip1,0,0,-385,3.691999912261963
clip1,0,0,-424,3.693000078201294
clip1,0,0,-492,3.693000078201294
clip1,0,0,-540,3.7200000286102295
clip1,0,0,-550,3.720999956130981
clip1,0,0,-551,3.720999956130981
clip1,0,0,-552,3.721999883651733
clip1,0,0,-532,3.721999883651733
clip1,0,0,-484,3.723000049591065
clip1,0,0,-453,3.723000049591065
clip1,0,0,-459,3.723000049591065
clip1,0,0,-482,3.723999977111816
clip1,0,0,-486,3.723999977111816
clip1,0,0,-484,3.7300000190734863
clip1,0,0,-492,3.7309999465942383
clip1,0,0,-509,3.7309999465942383
clip1,0,0,-550,3.7319998741149902
clip1,0,0,-617,3.7319998741149902
clip1,0,0,-700,3.7319998741149902
clip1,0,0,-777,3.733000040054321
clip1,0,0,-853,3.733000040054321
clip1,0,0,-901,3.733999967575073
clip1,0,0,-887,3.733999967575073
clip1,0,0,-873,3.747999906539917
clip1,0,0,-860,3.749000072479248
clip1,0,0,-824,3.75
clip1,0,0,-770,3.750999927520752
clip1,0,0,-722,3.750999927520752
clip1,0,0,-678,3.750999927520752
clip1,0,0,-609,3.752000093460083
clip1,0,0,-545,3.752000093460083
clip1,0,0,-534,3.753000020980835
clip1,0,0,-558,3.753000020980835
clip1,0,0,-573,3.763999938964844
clip1,0,0,-567,3.765000104904175
clip1,0,0,-558,3.765000104904175
clip1,0,0,-551,3.766000032424927
clip1,0,0,-541,3.766000032424927
clip1,0,0,-509,3.766999959945679
clip1,0,0,-466,3.766999959945679
clip1,0,0,-458,3.766999959945679
clip1,0,0,-483,3.767999887466431
clip1,0,0,-516,3.767999887466431
clip1,0,0,-529,3.7890000343322754
clip1,0,0,-523,3.7890000343322754
clip1,0,0,-534,3.7899999618530273
clip1,0,0,-549,3.7909998893737793
clip1,0,0,-545,3.7909998893737793
clip1,0,0,-509,3.7920000553131104
clip1,0,0,-461,3.7920000553131104
clip1,0,0,-417,3.7929999828338623
clip1,0,0,-377,3.7929999828338623
clip1,0,0,-339,3.7929999828338623
clip1,0,0,-297,3.815999984741211
clip1,0,0,-258,3.816999912261963
clip1,0,0,-214,3.816999912261963
clip1,0,0,-200,3.818000078201294
clip1,0,0,-236,3.819000005722046
clip1,0,0,-296,3.819000005722046
clip1,0,0,-313,3.819999933242798
clip1,0,0,-273,3.819999933242798
clip1,0,0,-228,3.821000099182129
clip1,0,0,-212,3.821000099182129
clip1,0,0,-197,3.8420000076293945
clip1,0,0,-169,3.8420000076293945
clip1,0,0,-141,3.8429999351501465
clip1,0,0,-116,3.8429999351501465
clip1,0,0,-97,3.8440001010894775
clip1,0,0,-103,3.8440001010894775
clip1,0,0,-117,3.8450000286102295
clip1,0,0,-106,3.8450000286102295
clip1,0,0,-59,3.845999956130981
clip1,0,0,4,3.845999956130981
clip1,0,0,77,3.8510000705718994
clip1,0,0,171,3.8519999980926514
clip1,0,0,278,3.8529999256134033
clip1,0,0,380,3.8529999256134033
clip1,0,0,470,3.8540000915527344
clip1,0,0,530,3.8540000915527344
clip1,0,0,568,3.8550000190734863
clip1,0,0,597,3.8550000190734863
clip1,0,0,612,3.8559999465942383
clip1,0,0,630,3.8559999465942383
clip1,0,0,661,3.861000061035156
clip1,0,0,675,3.861999988555908
clip1,0,0,668,3.861999988555908
clip1,0,0,635,3.86299991607666
clip1,0,0,586,3.864000082015991
clip1,0,0,540,3.864000082015991
clip1,0,0,517,3.865000009536743
clip1,0,0,512,3.865000009536743
