,attention,meditation,raw_value,timestamp
clip1,0.0,0.0,16,2.633000135421753
clip1,0.0,0.0,39,2.634000062942505
clip1,0.0,0.0,51,2.634999990463257
clip1,0.0,0.0,50,2.634999990463257
clip1,0.0,0.0,67,2.636000156402588
clip1,0.0,0.0,89,2.636000156402588
clip1,0.0,0.0,89,2.638000011444092
clip1,0.0,0.0,44,2.657000064849853
clip1,0.0,0.0,5,2.657999992370605
clip1,0.0,0.0,5,2.6590001583099365
clip1,0.0,0.0,1,2.6590001583099365
clip1,0.0,0.0,35,2.6590001583099365
clip1,0.0,0.0,87,2.6590001583099365
clip1,0.0,0.0,90,2.6600000858306885
clip1,0.0,0.0,25,2.6600000858306885
clip1,0.0,0.0,19,2.6610000133514404
clip1,0.0,0.0,65,2.6610000133514404
clip1,0.0,0.0,53,2.6620001792907715
clip1,0.0,0.0,25,2.694000005722046
clip1,0.0,0.0,37,2.695000171661377
clip1,0.0,0.0,20,2.695000171661377
clip1,0.0,0.0,-54,2.695000171661377
clip1,0.0,0.0,-125,2.696000099182129
clip1,0.0,0.0,-139,2.696000099182129
clip1,0.0,0.0,-61,2.697000026702881
clip1,0.0,0.0,58,2.697000026702881
clip1,0.0,0.0,103,2.698000192642212
clip1,0.0,0.0,71,2.698000192642212
clip1,0.0,0.0,48,2.7039999961853027
clip1,0.0,0.0,54,2.705000162124634
clip1,0.0,0.0,66,2.705000162124634
clip1,0.0,0.0,45,2.7060000896453857
clip1,0.0,0.0,25,2.7060000896453857
clip1,0.0,0.0,1,2.7070000171661377
clip1,0.0,0.0,-53,2.7070000171661377
clip1,0.0,0.0,-58,2.7070000171661377
clip1,0.0,0.0,-6,2.7080001831054688
clip1,0.0,0.0,20,2.7080001831054688
clip1,0.0,0.0,8,2.7090001106262207
clip1,0.0,0.0,3,2.7090001106262207
clip1,0.0,0.0,21,2.7100000381469727
clip1,0.0,0.0,42,2.7100000381469727
clip1,0.0,0.0,66,2.7100000381469727
clip1,0.0,0.0,85,2.711000204086304
clip1,0.0,0.0,97,2.711000204086304
clip1,0.0,0.0,91,2.712000131607056
clip1,0.0,0.0,85,2.712000131607056
clip1,0.0,0.0,90,2.712000131607056
clip1,0.0,0.0,86,2.7320001125335693
clip1,0.0,0.0,92,2.7320001125335693
clip1,0.0,0.0,68,2.7330000400543213
clip1,0.0,0.0,33,2.7340002059936523
clip1,0.0,0.0,65,2.7340002059936523
clip1,0.0,0.0,123,2.7350001335144043
clip1,0.0,0.0,135,2.7350001335144043
clip1,0.0,0.0,104,2.7350001335144043
clip1,0.0,0.0,56,2.736000061035156
clip1,0.0,0.0,19,2.736000061035156
clip1,0.0,0.0,11,2.748000144958496
clip1,0.0,0.0,24,2.749000072479248
clip1,0.0,0.0,53,2.749000072479248
clip1,0.0,0.0,90,2.75
clip1,0.0,0.0,85,2.75
clip1,0.0,0.0,27,2.75
clip1,0.0,0.0,-9,2.751000165939331
clip1,0.0,0.0,-7,2.751000165939331
clip1,0.0,0.0,9,2.752000093460083
clip1,0.0,0.0,19,2.752000093460083
clip1,0.0,0.0,19,2.764000177383423
clip1,0.0,0.0,-5,2.764000177383423
clip1,0.0,0.0,-37,2.764000177383423
clip1,0.0,0.0,-22,2.765000104904175
clip1,0.0,0.0,5,2.765000104904175
clip1,0.0,0.0,25,2.7660000324249268
clip1,0.0,0.0,44,2.7660000324249268
clip1,0.0,0.0,57,2.767000198364258
clip1,0.0,0.0,37,2.767000198364258
clip1,0.0,0.0,3,2.7680001258850098
clip1,0.0,0.0,-14,2.7880001068115234
clip1,0.0,0.0,4,2.7880001068115234
clip1,0.0,0.0,17,2.7880001068115234
clip1,0.0,0.0,-29,2.7890000343322754
clip1,0.0,0.0,-93,2.7900002002716064
clip1,0.0,0.0,-101,2.7900002002716064
clip1,0.0,0.0,-39,2.7910001277923584
clip1,0.0,0.0,3,2.7910001277923584
clip1,0.0,0.0,-17,2.7910001277923584
clip1,0.0,0.0,-52,2.7920000553131104
clip1,0.0,0.0,-69,2.802000045776367
clip1,0.0,0.0,-55,2.802999973297119
clip1,0.0,0.0,-35,2.80400013923645
clip1,0.0,0.0,-5,2.805000066757202
clip1,0.0,0.0,9,2.805000066757202
clip1,0.0,0.0,12,2.805999994277954
clip1,0.0,0.0,11,2.805999994277954
clip1,0.0,0.0,-2,2.805999994277954
clip1,0.0,0.0,19,2.807000160217285
clip1,0.0,0.0,86,2.807000160217285
clip1,0.0,0.0,146,2.8289999961853027
clip1,0.0,0.0,147,2.830000162124634
clip1,0.0,0.0,114,2.830000162124634
clip1,0.0,0.0,121,2.8310000896453857
clip1,0.0,0.0,131,2.8310000896453857
clip1,0.0,0.0,107,2.8320000171661377
clip1,0.0,0.0,86,2.8320000171661377
clip1,0.0,0.0,100,2.8330001831054688
clip1,0.0,0.0,86,2.8330001831054688
clip1,0.0,0.0,32,2.8330001831054688
clip1,0.0,0.0,6,2.844000101089477
clip1,0.0,0.0,37,2.845000028610229
clip1,0.0,0.0,82,2.845000028610229
clip1,0.0,0.0,58,2.8460001945495605
clip1,0.0,0.0,-6,2.8460001945495605
clip1,0.0,0.0,-37,2.8470001220703125
clip1,0.0,0.0,-2,2.8470001220703125
clip1,0.0,0.0,48,2.8470001220703125
clip1,0.0,0.0,42,2.8480000495910645
clip1,0.0,0.0,45,2.8480000495910645
clip1,0.0,0.0,44,2.869000196456909
clip1,0.0,0.0,41,2.869000196456909
clip1,0.0,0.0,53,2.870000123977661
clip1,0.0,0.0,53,2.871000051498413
clip1,0.0,0.0,59,2.871000051498413
clip1,0.0,0.0,77,2.871999979019165
clip1,0.0,0.0,52,2.871999979019165
clip1,0.0,0.0,-5,2.873000144958496
clip1,0.0,0.0,-25,2.874000072479248
clip1,0.0,0.0,-7,2.874000072479248
clip1,0.0,0.0,-5,2.88100004196167
clip1,0.0,0.0,-12,2.881999969482422
clip1,0.0,0.0,-50,2.883000135421753
clip1,0.0,0.0,-65,2.884000062942505
clip1,0.0,0.0,-25,2.884000062942505
clip1,0.0,0.0,10,2.884000062942505
clip1,0.0,0.0,20,2.884999990463257
clip1,0.0,0.0,-19,2.884999990463257
clip1,0.0,0.0,-87,2.886000156402588
clip1,0.0,0.0,-105,2.886000156402588
clip1,0.0,0.0,-75,2.907999992370605
clip1,0.0,0.0,-27,2.907999992370605
clip1,0.0,0.0,-23,2.9090001583099365
clip1,0.0,0.0,-90,2.9090001583099365
clip1,0.0,0.0,-150,2.9100000858306885
clip1,0.0,0.0,-119,2.9100000858306885
clip1,0.0,0.0,-33,2.9110000133514404
clip1,0.0,0.0,25,2.9110000133514404
clip1,0.0,0.0,49,2.9120001792907715
clip1,0.0,0.0,76,2.9120001792907715
clip1,0.0,0.0,134,2.9230000972747803
clip1,0.0,0.0,167,2.9230000972747803
clip1,0.0,0.0,133,2.924000024795532
clip1,0.0,0.0,96,2.9250001907348637
clip1,0.0,0.0,83,2.9260001182556152
clip1,0.0,0.0,56,2.9260001182556152
clip1,0.0,0.0,86,2.9260001182556152
clip1,0.0,0.0,136,2.927000045776367
clip1,0.0,0.0,155,2.927000045776367
clip1,0.0,0.0,117,2.937000036239624
clip1,0.0,0.0,53,2.937000036239624
clip1,0.0,0.0,39,2.938000202178955
clip1,0.0,0.0,84,2.939000129699707
clip1,0.0,0.0,146,2.940000057220459
clip1,0.0,0.0,124,2.940000057220459
clip1,0.0,0.0,40,2.940999984741211
clip1,0.0,0.0,19,2.942000150680542
clip1,0.0,0.0,52,2.942000150680542
clip1,0.0,0.0,70,2.943000078201294
clip1,0.0,0.0,64,2.962000131607056
clip1,0.0,0.0,55,2.963000059127808
clip1,0.0,0.0,9,2.963000059127808
clip1,0.0,0.0,-50,2.96399998664856
clip1,0.0,0.0,-37,2.96399998664856
clip1,0.0,0.0,-10,2.96399998664856
clip1,0.0,0.0,-17,2.96500015258789
clip1,0.0,0.0,-38,2.96500015258789
clip1,0.0,0.0,-55,2.9660000801086426
clip1,0.0,0.0,-27,2.9660000801086426
clip1,0.0,0.0,16,2.9810001850128174
clip1,0.0,0.0,60,2.9810001850128174
clip1,0.0,0.0,53,2.9820001125335693
clip1,0.0,0.0,-11,2.9830000400543213
clip1,0.0,0.0,-33,2.9830000400543213
clip1,0.0,0.0,18,2.9840002059936523
clip1,0.0,0.0,68,2.9840002059936523
clip1,0.0,0.0,85,2.9840002059936523
clip1,0.0,0.0,87,2.9850001335144043
clip1,0.0,0.0,67,2.9850001335144043
clip1,0.0,0.0,20,3.01200008392334
clip1,0.0,0.0,-18,3.013000011444092
clip1,0.0,0.0,-36,3.013000011444092
clip1,0.0,0.0,-44,3.014000177383423
clip1,0.0,0.0,-60,3.014000177383423
clip1,0.0,0.0,-74,3.014000177383423
clip1,0.0,0.0,-89,3.015000104904175
clip1,0.0,0.0,-60,3.015000104904175
clip1,0.0,0.0,5,3.0160000324249268
clip1,0.0,0.0,49,3.0160000324249268
clip1,0.0,0.0,83,3.0420000553131104
clip1,0.0,0.0,112,3.0429999828338623
clip1,0.0,0.0,124,3.0440001487731934
clip1,0.0,0.0,105,3.0440001487731934
clip1,0.0,0.0,89,3.0440001487731934
clip1,0.0,0.0,99,3.0450000762939453
clip1,0.0,0.0,92,3.0450000762939453
clip1,0.0,0.0,71,3.0450000762939453
clip1,0.0,0.0,66,3.0460000038146973
clip1,0.0,0.0,105,3.0460000038146973
clip1,0.0,0.0,160,3.0470001697540283
clip1,0.0,0.0,161,3.0470001697540283
clip1,0.0,0.0,135,3.0480000972747803
clip1,0.0,0.0,108,3.0480000972747803
clip1,0.0,0.0,109,3.0480000972747803
clip1,0.0,0.0,128,3.049000024795532
clip1,0.0,0.0,102,3.049000024795532
clip1,0.0,0.0,48,3.049000024795532
clip1,0.0,0.0,13,3.0500001907348637
clip1,0.0,0.0,21,3.0500001907348637
clip1,0.0,0.0,22,3.057000160217285
clip1,0.0,0.0,-1,3.058000087738037
clip1,0.0,0.0,-17,3.058000087738037
clip1,0.0,0.0,-4,3.059000015258789
clip1,0.0,0.0,16,3.059000015258789
clip1,0.0,0.0,29,3.06000018119812
clip1,0.0,0.0,20,3.06000018119812
clip1,0.0,0.0,5,3.061000108718872
clip1,0.0,0.0,36,3.061000108718872
clip1,0.0,0.0,73,3.061000108718872
clip1,0.0,0.0,73,3.086000204086304
clip1,0.0,0.0,71,3.087000131607056
clip1,0.0,0.0,88,3.087000131607056
clip1,0.0,0.0,90,3.088000059127808
clip1,0.0,0.0,128,3.08899998664856
clip1,0.0,0.0,163,3.08899998664856
